count, Time, ForceInput_x_T[0], ForceInput_x_T[1], ForceInput_x_T[2], ForceInput_x_T[3], ForceInput_x_T[4], ForceInput_x_T[5]
428,1727834722.5147645,-22843.116531746375,29899.398269346304,9925.95640693471,9478.4361033155,-13274.295578303048,0.0
429,1727834722.953538,-23465.544775118207,30709.05315478312,10957.224605057796,9921.54191350023,-12533.749102526053,0.0
430,1727834722.9537556,-23465.544775118207,30593.38817114933,10390.027096090082,9921.54191350023,-12904.02234041458,0.0
431,1727834723.3906505,-24191.711059052002,29089.74338390943,9719.702767310082,10364.647723684975,-13089.158959358814,0.0
432,1727834723.390883,-23465.544775118207,31981.367974755325,9565.012537591625,10445.212416445851,-13336.007784617832,0.0
433,1727834723.8467948,206625.429191337,-236824.05399027638,-74947.41629859529,-87199.1952097198,120085.78226787539,0.0
434,1727834723.8472476,206625.429191337,-236824.05399027638,-74947.41629859529,-87199.1952097198,120085.78226787539,0.0
435,1727834724.3743076,206625.429191337,-236824.05399027638,-74947.41629859529,-87199.1952097198,120085.78226787539,0.0
436,1727834724.3745382,-23050.59261287033,28742.748433007946,9925.95640693471,9881.259567119792,-12780.597927785071,0.0
437,1727834724.850659,-23880.496937366115,29205.408367543278,10286.900276277796,9035.33029313074,-12904.02234041458,0.0
438,1727834724.8508782,-23776.758896804153,30362.058203881636,10080.646636653168,9881.259567119792,-12718.885721470317,0.0
439,1727834725.3070216,-24087.97301849007,29436.738334810972,9771.266177216225,10404.930070065384,-13027.44675304406,0.0
440,1727834725.3072586,-22531.90241006046,30477.723187515425,10493.153915902396,9800.694874358946,-14199.978673024365,0.0
441,1727834725.6645865,-23154.33065343229,31634.373023853783,10235.33686637164,9478.4361033155,-14940.52514880139,0.0
442,1727834725.6648176,-24191.711059052002,32212.69794202296,9461.88571777931,10002.106606261106,-14323.403085653845,0.0
443,1727834726.1289492,-23984.234977928078,33832.00771289659,10338.463686183939,9720.13018159807,-12225.188070952281,0.0
444,1727834726.1291745,-24917.877342985827,31865.702991121478,10699.407555527025,9438.153756935048,-11422.929388860503,0.0
445,1727834726.6318746,-26577.6859919774,30246.393220247788,10183.773456465482,10042.388952641515,-11978.339245693292,0.0
446,1727834726.632839,206625.429191337,-236824.05399027638,-74947.41629859529,-87199.1952097198,120085.78226787539,0.0
447,1727834727.089995,-25436.567545795726,27933.093547571072,9565.012537591625,9559.000796076332,-12965.734546729305,0.0
448,1727834727.0902166,-25747.781667481613,30477.723187515425,9461.88571777931,10364.647723684975,-12595.461308840808,0.0
449,1727834727.499544,-23569.28281568017,30940.383122050815,10699.407555527025,9881.259567119792,-13767.993228821084,0.0
450,1727834727.499771,-24087.97301849007,31865.702991121478,11472.858704119353,9075.612639511164,-13891.417641450593,0.0
451,1727834727.959379,-24917.877342985827,32559.692892924446,11163.47824468241,9559.000796076332,-13212.583371988323,0.0
452,1727834727.959576,-24191.711059052002,31171.71308931851,10854.097785245482,10122.953645402406,-12657.173515155562,0.0
453,1727834728.34416,-22843.116531746375,28048.75853120492,11008.788014963939,9921.54191350023,-13089.158959358814,0.0
454,1727834728.3447304,-22739.378491184383,28395.753482106462,10957.224605057796,10485.494762826274,-13829.70543513581,0.0
455,1727834731.648878,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
456,1727834731.6493807,-276524.1209219941,316632.89269762224,101832.57822366415,116456.2633858271,-160846.6945387689,0.0
457,1727834732.1673203,-274241.8840296307,315591.9078449178,100698.18320572874,116254.85165392494,-160476.42130088038,0.0
458,1727834732.1675591,-273515.7177456969,315591.9078449178,100337.23933638565,115932.5928828815,-159982.72365036237,0.0
459,1727834732.6218827,-274656.8361918786,317211.2176157914,100491.92956610413,116375.69869306625,-160291.28468193614,0.0
460,1727834732.6223214,-275901.6926786223,316979.8876485238,101781.01481375798,116536.82807858795,-160784.98233245412,0.0
461,1727834733.0816863,-274241.8840296307,317789.5425339606,101368.50753450874,116254.85165392494,-159921.01144404762,0.0
462,1727834733.082443,-274034.40794850676,319755.8472557358,100904.43684535335,116859.08684963139,-159859.2992377329,0.0
463,1727834733.5396776,-274449.3601107547,317442.5475830591,100698.18320572874,117221.6279670553,-160167.86026930664,0.0
464,1727834733.539938,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
465,1727834734.0055776,-276420.38288143213,319293.18732120044,101368.50753450874,116254.85165392494,-160599.8457135099,0.0
466,1727834734.0059752,-275071.7883541265,318714.86240303126,101368.50753450874,116375.69869306625,-159982.72365036237,0.0
467,1727834734.4894361,-275797.9546380603,318020.8725012283,100440.36615619797,116979.93388877268,-160352.9968882509,0.0
468,1727834734.4896536,-276939.073084242,317442.5475830591,101007.56366516567,116295.13400030538,-161340.3921892869,0.0
469,1727834734.97006,-277768.97740873776,316285.89774672076,101316.9441246026,115892.31053650106,-161216.96777665743,0.0
470,1727834734.9702623,-276731.5970031181,315476.24286128394,100440.36615619797,116254.85165392494,-160229.57247562136,0.0
471,1727834735.4623196,-274449.3601107547,316864.22266488994,100646.6197958226,116456.2633858271,-160106.14806299185,0.0
472,1727834735.4625716,-273826.93186738284,318252.202468496,101574.76117413337,116013.15757564234,-160352.9968882509,0.0
473,1727834735.9199302,-276005.4307191842,319061.8573539328,101471.63435432105,115570.05176545761,-160414.70909456565,0.0
474,1727834735.920126,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
475,1727834736.3746805,-275383.0024758124,317905.20751759445,100852.8734354472,116254.85165392494,-160538.13350719513,0.0
476,1727834736.374895,-275279.2644352504,317673.8775503268,100801.31002554105,116295.13400030538,-160229.57247562136,0.0
477,1727834736.846522,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
478,1727834736.8467474,-276835.33504368004,316285.89774672076,101523.19776422721,116174.28696116409,-159489.02599984437,0.0
479,1727834737.3272133,-275486.7405163744,315938.9027958192,101059.12707507182,116617.39277134882,-159612.45041247387,0.0
480,1727834737.327414,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
481,1727834737.8187988,-276316.64484087017,317326.88259942527,101677.88799394568,117060.49858153358,-160414.70909456565,0.0
482,1727834737.819024,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
483,1727834738.3045242,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
484,1727834738.3047202,-273826.93186738284,316979.8876485238,100904.43684535335,115892.31053650106,-160291.28468193614,0.0
485,1727834738.7888267,-274241.8840296307,315129.2479103824,100079.42228685488,115771.46349735977,-159797.5870314181,0.0
486,1727834738.789041,-275175.52639468847,316054.56777945306,100595.05638591644,116013.15757564234,-159797.5870314181,0.0
487,1727834739.2613964,-275071.7883541265,316401.5627303546,101471.63435432105,115610.33411183805,-159735.87482510338,0.0
488,1727834739.2616017,-275486.7405163744,317211.2176157914,101265.38071469644,116134.00461478363,-160414.70909456565,0.0
489,1727834739.7458336,-274553.09815131663,318714.86240303126,101420.07094441491,115892.31053650106,-160784.98233245412,0.0
490,1727834739.7460716,-275175.52639468847,317558.2125666929,101162.25389488412,115489.48707269673,-161834.08983980492,0.0
491,1727834740.2485838,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
492,1727834740.248804,-276316.64484087017,320796.8321084403,101781.01481375798,116536.82807858795,-160291.28468193614,0.0
493,1727834740.7268453,-276524.1209219941,319293.18732120044,102296.64891281954,115811.74584374018,-160599.8457135099,0.0
494,1727834740.7270358,-276731.5970031181,318136.53748486214,101677.88799394568,115610.33411183805,-159797.5870314181,0.0
495,1727834741.1982687,-276005.4307191842,318367.8674521298,101316.9441246026,115650.61645821846,-160167.86026930664,0.0
496,1727834741.1984851,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
497,1727834741.671543,-275279.2644352504,318136.53748486214,101574.76117413337,116254.85165392494,-160599.8457135099,0.0
498,1727834741.6717489,-273723.1938268209,318946.19237029896,101626.32458403954,115892.31053650106,-160846.6945387689,0.0
499,1727834742.1527526,-274968.05031356454,318136.53748486214,101471.63435432105,116375.69869306625,-161525.52880823115,0.0
500,1727834742.1532807,-274449.3601107547,316632.89269762224,101884.14163357028,115852.02819012065,-160599.8457135099,0.0
501,1727834742.6248717,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
502,1727834742.6250598,-276524.1209219941,317789.5425339606,100956.00025525951,116577.11042496841,-161031.83115771314,0.0
503,1727834743.1113167,-274656.8361918786,318136.53748486214,100543.49297601028,116254.85165392494,-159982.72365036237,0.0
504,1727834743.111559,-275175.52639468847,318830.5273866651,100440.36615619797,116335.41634668579,-160723.2701261394,0.0
505,1727834743.6067383,-274345.6220701927,320218.5071902711,100182.5491066672,116697.9574641097,-161278.67998297216,0.0
506,1727834743.6069396,-275797.9546380603,319524.51728846814,100852.8734354472,116899.36919601186,-160291.28468193614,0.0
507,1727834744.0796168,-276212.9068003082,318830.5273866651,101110.69048497797,116214.5693075445,-159921.01144404762,0.0
508,1727834744.0798147,-276109.16875974624,319293.18732120044,100801.31002554105,116415.98103944666,-160414.70909456565,0.0
509,1727834744.5875156,-274864.3122730026,319408.8523048343,101059.12707507182,116375.69869306625,-160167.86026930664,0.0
510,1727834744.5877314,-274553.09815131663,319524.51728846814,101110.69048497797,115972.87522926193,-160970.11895139838,0.0
511,1727834745.107843,-276627.8589625561,316864.22266488994,100543.49297601028,116093.72226840322,-161155.25557034268,0.0
